activity,lap,timestamp,seconds,lat,long,alt,dist,heart,cad
Running,6,2015-07-04T09:52:59.000-07:00,1436028779,37.60641133785248,-122.4236011505127,69.61,2331.745116534439,173,0
Running,6,2015-07-04T09:53:00.000-07:00,1436028780,37.60639667510986,-122.42359173297882,69.4,2333.5744673828754,172,0
Running,6,2015-07-04T09:53:01.000-07:00,1436028781,37.606377363204956,-122.42358660697937,64.41,2335.7688198184524,172,0
Running,6,2015-07-04T09:53:02.000-07:00,1436028782,37.60635602474213,-122.42358684539795,64.96,2338.1416453035667,172,0
Running,6,2015-07-04T09:53:03.000-07:00,1436028783,37.60633730888367,-122.42358541488647,65.0,2340.2265688329812,172,0
Running,6,2015-07-04T09:53:04.000-07:00,1436028784,37.60631477832794,-122.4235851764679,64.76,2342.731944290413,172,0
Running,6,2015-07-04T09:53:05.000-07:00,1436028785,37.60628592967987,-122.42358219623566,62.7,2345.9504976834114,173,0
Running,6,2015-07-04T09:53:06.000-07:00,1436028786,37.606257915496826,-122.42357802391052,60.02,2349.087146120527,173,0
Running,6,2015-07-04T09:53:07.000-07:00,1436028787,37.60623395442963,-122.42356824874878,58.8,2351.8871967871905,173,0
Running,6,2015-07-04T09:53:08.000-07:00,1436028788,37.60621774196625,-122.42355763912201,58.42,2353.9178131378167,173,0
Running,6,2015-07-04T09:53:09.000-07:00,1436028789,37.6062034368515,-122.42354559898376,56.19,2355.829654115015,173,0
Running,6,2015-07-04T09:53:10.000-07:00,1436028790,37.60618591308594,-122.42353069782257,56.25,2358.1791137905334,171,0
Running,6,2015-07-04T09:53:11.000-07:00,1436028791,37.60616874694824,-122.42351639270782,56.48,2360.466356328039,171,0
Running,6,2015-07-04T09:53:12.000-07:00,1436028792,37.606151819229126,-122.42350339889526,55.19,2362.6693508263916,171,0
Running,6,2015-07-04T09:53:13.000-07:00,1436028793,37.60613238811493,-122.42349016666412,54.96,2365.12436961723,171,0
Running,6,2015-07-04T09:53:14.000-07:00,1436028794,37.60611367225647,-122.42347824573517,54.81,2367.4554217225564,171,0
Running,6,2015-07-04T09:53:15.000-07:00,1436028795,37.60609805583954,-122.42346954345703,57.51,2369.3535774867196,172,0
Running,6,2015-07-04T09:53:16.000-07:00,1436028796,37.606083154678345,-122.42346000671387,57.88,2371.211322267214,172,0
Running,6,2015-07-04T09:53:17.000-07:00,1436028797,37.60606586933136,-122.42345058917999,57.96,2373.304765585536,172,0
Running,6,2015-07-04T09:53:18.000-07:00,1436028798,37.606045603752136,-122.42344236373901,56.76,2375.67183007411,172,0
Running,6,2015-07-04T09:53:19.000-07:00,1436028799,37.60602629184723,-122.42343187332153,56.27,2378.0096225180932,172,0
Running,6,2015-07-04T09:53:20.000-07:00,1436028800,37.60600936412811,-122.42341887950897,53.82,2380.212618155456,172,0
Running,6,2015-07-04T09:53:21.000-07:00,1436028801,37.605992555618286,-122.42340207099915,54.16,2382.597086663382,172,0
Running,6,2015-07-04T09:53:22.000-07:00,1436028802,37.605974435806274,-122.42338716983795,53.38,2385.001801614117,172,0
Running,6,2015-07-04T09:53:23.000-07:00,1436028803,37.60595703125,-122.4233751296997,53.19,2387.2086862463507,172,0
Running,6,2015-07-04T09:53:24.000-07:00,1436028804,37.605934381484985,-122.42336237430573,54.93,2389.966517750909,172,0
Running,6,2015-07-04T09:53:25.000-07:00,1436028805,37.60591375827789,-122.42334425449371,58.56,2392.760553474443,173,0
Running,6,2015-07-04T09:53:26.000-07:00,1436028806,37.605897068977356,-122.42333126068115,63.3,2394.9409420711477,173,0
Running,6,2015-07-04T09:53:27.000-07:00,1436028807,37.605878829956055,-122.42332231998444,64.84,2397.1165947754107,173,0
Running,6,2015-07-04T09:53:28.000-07:00,1436028808,37.605857849121094,-122.42331302165985,66.83,2399.589177476177,173,0
Running,6,2015-07-04T09:53:29.000-07:00,1436028809,37.60583674907684,-122.42330372333527,67.24,2402.0742711387575,173,0
Running,6,2015-07-04T09:53:30.000-07:00,1436028810,37.60581624507904,-122.42329514026642,73.69,2404.47631811211,172,0
Running,6,2015-07-04T09:53:31.000-07:00,1436028811,37.60579597949982,-122.42328679561615,72.48,2406.8466190545205,172,0
Running,6,2015-07-04T09:53:32.000-07:00,1436028812,37.60577440261841,-122.42327690124512,71.9,2409.3992803880033,172,0
Running,6,2015-07-04T09:53:33.000-07:00,1436028813,37.605751156806946,-122.42326724529266,69.44,2412.120463170608,172,0
Running,6,2015-07-04T09:53:34.000-07:00,1436028814,37.60572946071625,-122.42325782775879,68.11,2414.67162017677,172,0
Running,6,2015-07-04T09:53:35.000-07:00,1436028815,37.60570788383484,-122.4232485294342,65.13,2417.2068335154036,171,0
Running,6,2015-07-04T09:53:36.000-07:00,1436028816,37.60568296909332,-122.42324185371399,63.74,2420.0389591708627,171,0
Running,6,2015-07-04T09:53:37.000-07:00,1436028817,37.60565781593323,-122.42323648929596,62.7,2422.8755082324037,171,0
Running,6,2015-07-04T09:53:38.000-07:00,1436028818,37.60563290119171,-122.42323458194733,62.25,2425.650995962134,171,0
Running,6,2015-07-04T09:53:39.000-07:00,1436028819,37.6056205034256,-122.42323052883148,67.08,2427.0750536898245,171,0
Running,6,2015-07-04T09:53:40.000-07:00,1436028820,37.605613231658936,-122.42322099208832,68.83,2428.2410711676935,171,0
Running,6,2015-07-04T09:53:41.000-07:00,1436028821,37.60560381412506,-122.42320454120636,71.27,2430.029017604073,171,0
Running,6,2015-07-04T09:53:42.000-07:00,1436028822,37.605594635009766,-122.42318987846375,73.37,2431.675282632163,171,0
Running,6,2015-07-04T09:53:43.000-07:00,1436028823,37.60558247566223,-122.42317974567413,75.44,2433.2954166555537,171,0
Running,6,2015-07-04T09:53:44.000-07:00,1436028824,37.6055691242218,-122.423171043396,76.89,2434.9662726922907,171,0
Running,6,2015-07-04T09:53:45.000-07:00,1436028825,37.605554819107056,-122.42316234111786,78.24,2436.7320229978354,171,0
Running,6,2015-07-04T09:53:46.000-07:00,1436028826,37.60553753376007,-122.42315030097961,82.05,2438.927295519762,171,0
Running,6,2015-07-04T09:53:47.000-07:00,1436028827,37.605517864227295,-122.4231390953064,82.41,2441.3268954803366,171,0
Running,6,2015-07-04T09:53:48.000-07:00,1436028828,37.605496525764465,-122.42312669754028,82.76,2443.9389145810514,171,0
Running,6,2015-07-04T09:53:49.000-07:00,1436028829,37.60547137260437,-122.42311310768127,83.07,2446.9812639856077,171,0
Running,6,2015-07-04T09:53:50.000-07:00,1436028830,37.60544490814209,-122.42309975624084,83.16,2450.1503240359007,171,0
Running,6,2015-07-04T09:53:51.000-07:00,1436028831,37.605422377586365,-122.42308688163757,82.6,2452.9003729123597,171,0
Running,6,2015-07-04T09:53:52.000-07:00,1436028832,37.6054025888443,-122.42307090759277,81.24,2455.5122677816735,171,0
Running,6,2015-07-04T09:53:53.000-07:00,1436028833,37.60538470745087,-122.42305219173431,81.67,2458.0952350301677,171,0
Running,6,2015-07-04T09:53:54.000-07:00,1436028834,37.605366230010986,-122.42303359508514,81.05,2460.72300179739,171,0
Running,6,2015-07-04T09:53:55.000-07:00,1436028835,37.60534644126892,-122.42301666736603,79.15,2463.3811018957376,172,0
Running,6,2015-07-04T09:53:56.000-07:00,1436028836,37.60532593727112,-122.42300486564636,76.33,2465.886895269792,172,0
Running,6,2015-07-04T09:53:57.000-07:00,1436028837,37.60530459880829,-122.42299365997314,77.21,2468.4567776039207,172,0
Running,6,2015-07-04T09:53:58.000-07:00,1436028838,37.60528564453125,-122.42298173904419,76.74,2470.811533624205,172,0
